End Year of Monitoring Period,Population Estimate
2024 *,45541
2023 *,37321
2022 *,16383
2021 *,11232
2020 *,22456
2019 *,27030
2018 *,21092
2017 *,9663
2016 *,14473
2015 *,15739
2014 *,26475
2013 *,58228
2012 *,38328
2011 *,25626
2010 *,14689
2009 *,5211
2008,2514
2007,10120
2006,24540
2005,62679
2004,99230
2003,163742
2002,124252
2001,135384
2000,100852
1999,55339
1998,50457
1997,47195
1996,69745
1995,70618
1994,33598
1993,31027
1992,5911
1991,17683
1990,5339
1989,19183
1988,24889
1987,39885
1986,49372
1985,56120
1984,27447
1983,26400
1982,33000
1981,43462
1980,34259
1979,37315
1978,12929
1977,41605
1976,23159
1975,32132
1974,53596
1973,82242
1972,17459
1971,41680
1970,28680
1969,44200
1968,26100
1967,18000
1966,18600
1965,25000
1964,38500
1963,37810
1962,14400
1961,11200
1960,25200
1959,17900
1958,17300
1957,6832
1956,4900
1955,9000
1954,29000
1953,28000
1952,25000
Notes:
Fall In-River American River: From 2018 on; the area between Nimbus Weir and Nimbus Dam is included in the American River Fall escapement estimate. In 2018 this area was closed to angling.
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Escapement Database Report. CDFW GrandTab Adult Escapement. American River; Princeton Ferry to Sacramento; Sacramento River System. In-River Fall Chinook. 1952-2024 (January to December). 2 GrandTab Data Notes exist for dataset
Generated 17 Jul 2025 15:57:25 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2025). SacPAS CDFW GrandTab Adult Escapement. Available from cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
